Indicator,Value
Reporting period,02 Apr 2026 to 02 Jun 2026 (62 days)
Total suspected cases,"73,362"
Total confirmed cases,"9,136"
Confirmation rate,12.5%
Total hospitalized (cumulative),"59,106"
Hospitalization rate (of suspected),80.6%
Total recovered (cumulative),"54,812"
Recovery rate (of hospitalized),92.7%
Total suspected deaths,504
Total confirmed deaths,90
Case fatality rate — suspected,0.69%
Case fatality rate — confirmed,0.99%
Peak daily suspected cases,"1,503 (10 May 2026)"
Mean daily suspected cases,"1,167"
